,,,,
,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",0,in GH,
,Does your website state how many projects and users are associated with your project?,3,in GH,
,Do you provide success stories on your website?,0,in GH,
,Do you list your important partners and collaborators on your website,3,in GH,
,Do you list your project's publications on your website or link to a resource where these are available?,0,in GH,
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,0,in GH,
,Can users subscribe to notifications to changes to your source code repository?,3,Github notifications,
,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",0,in GH,
,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",3,Yes because open source project (contributing.md),
,Do you have a contributions policy?,3,contributing.md,
,Is your contributions' policy publicly available?,3,https://github.com/ashakhatri007/WolfJobs/blob/master/CONTRIBUTING.md,
,Do contributors keep the copyright/IP of their contributions?,2,,
,Does your website and documentation clearly state the copyright owners of your software and documentation?,3,Yes,
,Does each of your source code files include a copyright statement?,1,"partially, not all files",
,Does your website and documentation clearly state the licence of your software?,3,readme.md,
,Is your software released under an open source licence?,3,Yes,
,Is your software released under an OSI-approved open-source licence?,3,https://github.com/ashakhatri007/WolfJobs/blob/master/LICENSE.md,
,Does each of your source code files include a licence header?,1,Yes partially not all files,
,Do you have a recommended citation for your software?,2,citation.md,
,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",1,Future Scope mentioned in readme.md,
,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",0,in GH,
,"Do you make timely announcements of the deprecation of components, APIs, etc.?",0,in GH,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
